city,lat,lon,max temp,humidity,cloudiness,wind speed,country,date
Acapulco de Juárez,16.86,-99.89,84.2,42,5,3.36,MX,1609612914
Katsuura,35.13,140.3,39.0,69,20,9.17,JP,1609613222
Vardø,70.37,31.11,30.49,96,99,10.25,NO,1609613246
Mataura,-46.19,168.86,53.01,97,100,5.99,NZ,1609613246
Arman',59.7,150.17,-3.03,80,100,13.49,RU,1609613246
Busselton,-33.65,115.33,59.0,67,56,1.99,AU,1609613004
Tambopata,-12.73,-69.18,87.8,66,40,6.93,PE,1609613247
Torbay,47.67,-52.73,28.99,63,75,9.17,CA,1609612832
Lensk,60.73,114.93,-19.1,83,100,14.83,RU,1609613247
Hilo,19.73,-155.09,69.8,83,90,6.93,US,1609613247
Salalah,17.02,54.09,75.2,69,20,3.36,OM,1609612647
Chui,-33.7,-53.46,73.29,49,0,11.34,UY,1609613247
São Filipe,14.9,-24.5,76.8,73,15,6.91,CV,1609613247
Ushuaia,-54.8,-68.3,62.6,20,40,31.09,AR,1609613247
Nikolskoye,59.7,30.79,33.8,96,90,4.47,RU,1609613248
Anadyr,64.75,177.48,14.0,78,75,20.13,RU,1609613134
Lompoc,34.64,-120.46,51.8,76,1,6.17,US,1609613100
Mahébourg,-20.41,57.7,77.0,69,20,13.87,MU,1609613248
Laguna,38.42,-121.42,53.01,81,90,4.7,US,1609613018
Kulu,39.1,33.08,42.35,64,0,6.4,TR,1609613248
Shingū,33.73,135.98,34.27,87,6,7.52,JP,1609613248
Guerrero Negro,27.98,-114.06,67.14,27,0,3.47,MX,1609612798
Grindavik,63.84,-22.43,42.8,100,90,17.22,IS,1609613248
Talnakh,69.49,88.4,-14.8,75,90,17.9,RU,1609613248
Barrow,71.29,-156.79,-9.4,69,75,9.17,US,1609613248
Iqaluit,63.75,-68.51,-16.01,68,20,3.36,CA,1609613249
Tucumã,-0.18,-50.05,81.97,80,100,7.61,BR,1609613249
Rocha,-34.48,-54.33,78.49,35,0,12.57,UY,1609613249
Kavieng,-2.57,150.8,82.06,78,98,5.93,PG,1609613249
Agüimes,27.91,-15.45,64.4,63,75,13.87,ES,1609613249
Richards Bay,-28.78,32.04,68.18,80,98,3.58,ZA,1609612928
Saint-Philippe,-21.36,55.77,77.0,69,0,19.46,RE,1609613249
Wang Saphung,17.3,101.77,59.0,91,3,1.9,TH,1609613249
Arraial do Cabo,-22.97,-42.03,77.0,88,75,6.93,BR,1609613249
New Norfolk,-42.78,147.06,55.0,71,100,1.03,AU,1609613250
